Eddelak
 53,9569       9,1504        12            1            Azimut = 0    Höhe = 15

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk, Ta,Snd,RR, FF, RH
 2005, 1, 4, 13,133,93,198,116,4.8,0,0.0,3.2,84
 2005, 1, 4, 14,78,76,83,79,4.9,0,0.0,2.2,85
 2005, 1, 4, 15,56,56,59,58,4.7,0,0.0,1.9,83
 2005, 1, 4, 16,4,4,4,4,3.8,0,0.0,1.8,86
 2005, 1, 4, 17,0,0,0,0,3.2,0,0.0,2.0,85
 2005, 1, 4, 18,0,0,0,0,2.9,0,0.0,2.4,90
 2005, 1, 4, 19,0,0,0,0,2.7,0,0.0,2.5,94
 2005, 1, 4, 20,0,0,0,0,2.4,0,0.0,2.7,93
 2005, 1, 4, 21,0,0,0,0,2.2,0,0.0,2.1,95
 2005, 1, 4, 22,0,0,0,0,2.0,0,0.0,2.6,95
 2005, 1, 4, 23,0,0,0,0,1.7,0,0.0,2.5,94
 2005, 1, 4, 24,0,0,0,0,1.5,0,0.0,2.5,97
 2005, 1, 5, 1,0,0,0,0,1.2,0,0.0,3.8,94
 2005, 1, 5, 2,0,0,0,0,0.8,0,0.0,4.6,94
 2005, 1, 5, 3,0,0,0,0,0.4,3,0.6,3.8,97
 2005, 1, 5, 4,0,0,0,0,0.0,10,1.5,3.2,99
 2005, 1, 5, 5,0,0,0,0,-0.1,15,0.9,4.8,97
 2005, 1, 5, 6,0,0,0,0,-0.1,15,0.0,4.0,99
 2005, 1, 5, 7,0,0,0,0,-0.2,14,0.0,4.8,99
 2005, 1, 5, 8,0,0,0,0,-0.3,14,0.0,3.6,99
 2005, 1, 5, 9,0,0,0,0,-0.3,14,0.0,3.4,99
 2005, 1, 5, 10,12,12,10,10,-0.1,15,0.2,2.9,96
 2005, 1, 5, 11,28,28,26,26,0.1,15,0.1,2.5,96
 2005, 1, 5, 12,40,40,38,38,0.4,15,0.1,2.4,95
 2005, 1, 5, 13,44,44,42,42,0.6,15,0.0,2.2,90
 2005, 1, 5, 14,43,43,42,42,0.7,15,0.0,2.9,91
 2005, 1, 5, 15,25,25,23,23,0.6,15,0.0,2.7,90
 2005, 1, 5, 16,9,9,8,8,0.4,14,0.0,2.7,91
 2005, 1, 5, 17,0,0,0,0,0.2,16,0.3,3.6,91
 2005, 1, 5, 18,0,0,0,0,-0.1,17,0.2,4.6,89
 2005, 1, 5, 19,0,0,0,0,-0.3,17,0.0,4.6,91
 2005, 1, 5, 20,0,0,0,0,-0.6,16,0.0,3.0,92
 2005, 1, 5, 21,0,0,0,0,-0.9,19,0.4,4.3,91
 2005, 1, 5, 22,0,0,0,0,-1.8,36,3.6,4.6,95
 2005, 1, 5, 23,0,0,0,0,-1.3,36,0.0,4.0,92
 2005, 1, 5, 24,0,0,0,0,-1.6,36,0.0,4.3,93
 2005, 1, 6, 1,0,0,0,0,-1.9,36,0.0,5.7,91
 2005, 1, 6, 2,0,0,0,0,-2.2,36,0.0,6.1,91
 2005, 1, 6, 3,0,0,0,0,-2.6,36,0.0,6.1,91
 2005, 1, 6, 4,0,0,0,0,-2.7,36,0.0,5.9,91
 2005, 1, 6, 5,0,0,0,0,-2.9,36,0.0,5.7,91
 2005, 1, 6, 6,0,0,0,0,-3.1,35,0.0,5.4,91
 2005, 1, 6, 7,0,0,0,0,-3.2,35,0.0,5.7,91
 2005, 1, 6, 8,0,0,0,0,-3.3,35,0.0,5.7,92
 2005, 1, 6, 9,0,0,0,0,-3.3,35,0.0,5.2,84
 2005, 1, 6, 10,38,27,82,42,-2.1,35,0.0,4.0,80
 2005, 1, 6, 11,92,58,156,75,-0.5,35,0.0,4.3,75
 2005, 1, 6, 12,126,92,180,110,0.8,34,0.0,5.0,70
 2005, 1, 6, 13,140,83,220,104,1.8,34,0.0,6.1,70
 2005, 1, 6, 14,151,68,269,94,2.6,32,0.0,6.6,74
 2005, 1, 6, 15,108,47,215,69,2.7,31,0.0,6.8,72
 2005, 1, 6, 16,53,33,121,46,2.1,30,0.0,6.3,73
 2005, 1, 6, 17,0,0,0,0,1.0,30,0.0,4.8,77
 2005, 1, 6, 18,0,0,0,0,0.9,29,0.0,2.9,75
 2005, 1, 6, 19,0,0,0,0,0.7,29,0.0,2.9,77
 2005, 1, 6, 20,0,0,0,0,0.6,29,0.0,2.2,79
