;W1;;;;;;N1.1;;;;;;N1.2;;;;;;N2;;;;;;"W2 + W3";;;;;;W4;;;;;;W5;;;;;;P11;;;;;;P1;;;;;;N3.2;;;;;;N3.1;;;;;;P2;;;;;;P10;;;;;;P3;;;;;;"N4 + N6";;;;;;S2;;;;;;S3;;;;;;P9;;;;;;"P7 + P8";;;;;;N5;;;;;;P4.2;;;;;;P4.1;;;;;;S4;;;;;;S5;;;;;;S6;;;;;;P6;;;;;;E3;;;;;;S7;;;;;;E1;;;;;;E2;;;;;;P5;;;;;;S1;;;;;;;;;;;;;;
Datum;"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Irr [kWh/qm] (all or east)";"Irr [kWh/qm] (west)";"Irr PPC [kWh/qm] (all or east)";"Irr PPC [kWh/qm] (west)";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"Mittelwert Luft Temp [°C]";"gewichtete Strahlung [kWh/qm]";"gewichtete Strahlung PPC [kWh/qm]";"gewichtete TheoPower mit TempCorr [kWh]";"gewichtete TheoPower mit TempCorr PPC [kWh]";"eGrid [kWh]";"eGrid PPC [kWh]";"Janitza [kWh]";"Janitza PPC [kWh]"
"2021-07-23 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.1556;0;0;0;0;0;0;0;
"2021-07-24 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.9556;0;0;0;0;0;0;0;
"2021-07-25 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.2778;0;0;0;0;0;0;0;
"2021-07-26 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.7444;0;0;0;0;0;0;0;
"2021-07-27 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.9778;0;0;0;0;0;0;0;
"2021-07-28 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.4;0;0;0;0;0;0;0;
"2021-07-29 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.2111;0;0;0;0;0;0;0;
"2021-07-30 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.1667;0;0;0;0;0;0;0;
"2021-07-31 00:15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.3444;0;0;0;0;0;0;0;
