stamp;soll-tr1;soll-nolimit-tr1;ist-tr1;soll-tr2;soll-nolimit-tr2;ist-tr2;soll-tr3;soll-nolimit-tr3;ist-tr3;soll-tr4;soll-nolimit-tr4;ist-tr4;soll-tr5;soll-nolimit-tr5;ist-tr5;soll-tr6;soll-nolimit-tr6;ist-tr6;soll-tr7;soll-nolimit-tr7;ist-tr7;soll-tr8;soll-nolimit-tr8;ist-tr8;soll-tr9;soll-nolimit-tr9;ist-tr9;soll-tr10;soll-nolimit-tr10;ist-tr10;soll-tr11;soll-nolimit-tr11;ist-tr11;soll-tr12;soll-nolimit-tr12;ist-tr12;soll-tr13;soll-nolimit-tr13;ist-tr13;soll-tr14;soll-nolimit-tr14;ist-tr14;soll-tr15;soll-nolimit-tr15;ist-tr15;soll-tr16;soll-nolimit-tr16;ist-tr16;soll-tr17;soll-nolimit-tr17;ist-tr17;soll-tr18;soll-nolimit-tr18;ist-tr18;soll-tr19;soll-nolimit-tr19;ist-tr19;soll-tr20;soll-nolimit-tr20;ist-tr20;soll-tr21;soll-nolimit-tr21;ist-tr21;soll-tr22;soll-nolimit-tr22;ist-tr22;soll-tr23;soll-nolimit-tr23;ist-tr23;soll-tr24;soll-nolimit-tr24;ist-tr24;soll-tr25;soll-nolimit-tr25;ist-tr25;soll-tr26;soll-nolimit-tr26;ist-tr26;soll-tr27;soll-nolimit-tr27;ist-tr27;soll-tr28;soll-nolimit-tr28;ist-tr28
"2021-07-01 05:30:00";0.06;0.06;0;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.07;0.07;;0.07;0.07;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.07;0.07;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.05;0.05;;0.06;0.06;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;
"2021-07-01 05:45:00";0.60;0.60;0;0.60;0.60;;0.60;0.60;;0.60;0.60;;0.60;0.60;;0.67;0.67;;0.67;0.67;;0.60;0.60;;0.59;0.59;;0.60;0.60;;0.62;0.62;;0.62;0.62;;0.67;0.67;;0.62;0.62;;0.62;0.62;;0.62;0.62;;0.65;0.65;;0.66;0.66;;0.65;0.65;;0.57;0.57;;0.57;0.57;;0.57;0.57;;0.53;0.53;;0.53;0.53;;0.53;0.53;;0.53;0.53;;0.53;0.53;;0.53;0.53;
"2021-07-01 06:00:00";1.47;1.47;0;1.47;1.47;;1.47;1.47;;1.47;1.47;;1.46;1.46;;1.65;1.65;;1.65;1.65;;1.46;1.46;;1.45;1.45;;1.47;1.47;;1.51;1.51;;1.51;1.51;;1.65;1.65;;1.53;1.53;;1.53;1.53;;1.51;1.51;;1.60;1.60;;1.60;1.60;;1.60;1.60;;1.39;1.39;;1.40;1.40;;1.39;1.39;;1.29;1.29;;1.30;1.30;;1.30;1.30;;1.30;1.30;;1.29;1.29;;1.29;1.29;
"2021-07-01 06:15:00";2.69;2.69;0;2.69;2.69;;2.69;2.69;;2.68;2.68;;2.67;2.67;;3.01;3.01;;3.01;3.01;;2.68;2.68;;2.66;2.66;;2.68;2.68;;2.75;2.75;;2.75;2.75;;3.01;3.01;;2.79;2.79;;2.79;2.79;;2.77;2.77;;2.92;2.92;;2.93;2.93;;2.92;2.92;;2.54;2.54;;2.56;2.56;;2.55;2.55;;2.36;2.36;;2.37;2.37;;2.38;2.38;;2.38;2.38;;2.36;2.36;;2.36;2.36;
"2021-07-01 06:30:00";3.51;3.51;0;3.51;3.51;;3.51;3.51;;3.51;3.51;;3.49;3.49;;3.93;3.93;;3.94;3.94;;3.50;3.50;;3.47;3.47;;3.51;3.51;;3.59;3.59;;3.59;3.59;;3.93;3.93;;3.64;3.64;;3.64;3.64;;3.62;3.62;;3.82;3.82;;3.83;3.83;;3.82;3.82;;3.32;3.32;;3.34;3.34;;3.33;3.33;;3.08;3.08;;3.10;3.10;;3.11;3.11;;3.11;3.11;;3.09;3.09;;3.09;3.09;
"2021-07-01 06:45:00";6.43;6.43;5.1196288333333;6.43;6.43;;6.43;6.43;;6.42;6.42;;6.38;6.38;;7.19;7.19;;7.20;7.20;;6.40;6.40;;6.35;6.35;;6.42;6.42;;6.58;6.58;;6.58;6.58;;7.19;7.19;;6.67;6.67;;6.67;6.67;;6.62;6.62;;6.99;6.99;;7.01;7.01;;6.99;6.99;;6.08;6.08;;6.12;6.12;;6.08;6.08;;5.63;5.63;;5.67;5.67;;5.68;5.68;;5.68;5.68;;5.65;5.65;;5.65;5.65;
"2021-07-01 07:00:00";7.38;7.38;6.9011676666667;7.38;7.38;;7.38;7.38;;7.36;7.36;;7.32;7.32;;8.24;8.24;;8.26;8.26;;7.34;7.34;;7.28;7.28;;7.36;7.36;;7.54;7.54;;7.54;7.54;;8.24;8.24;;7.65;7.65;;7.65;7.65;;7.59;7.59;;8.02;8.02;;8.04;8.04;;8.02;8.02;;6.98;6.98;;7.02;7.02;;6.98;6.98;;6.46;6.46;;6.50;6.50;;6.52;6.52;;6.52;6.52;;6.48;6.48;;6.48;6.48;
"2021-07-01 07:15:00";8.04;8.04;7.5979571666667;8.04;8.04;;8.04;8.04;;8.01;8.01;;7.97;7.97;;8.98;8.98;;9.00;9.00;;7.99;7.99;;7.93;7.93;;8.01;8.01;;8.22;8.22;;8.22;8.22;;8.98;8.98;;8.33;8.33;;8.33;8.33;;8.27;8.27;;8.73;8.73;;8.76;8.76;;8.73;8.73;;7.60;7.60;;7.64;7.64;;7.60;7.60;;7.04;7.04;;7.08;7.08;;7.10;7.10;;7.10;7.10;;7.06;7.06;;7.06;7.06;
"2021-07-01 07:30:00";10.04;10.04;11.041733333333;10.04;10.04;;10.04;10.04;;10.02;10.02;;9.97;9.97;;11.22;11.22;;11.25;11.25;;9.99;9.99;;9.91;9.91;;10.02;10.02;;10.27;10.27;;10.27;10.27;;11.22;11.22;;10.41;10.41;;10.41;10.41;;10.34;10.34;;10.92;10.92;;10.94;10.94;;10.92;10.92;;9.50;9.50;;9.55;9.55;;9.50;9.50;;8.80;8.80;;8.85;8.85;;8.87;8.87;;8.87;8.87;;8.82;8.82;;8.82;8.82;
"2021-07-01 07:45:00";27.55;27.55;15.446086;27.55;27.55;;27.55;27.55;;27.48;27.48;;27.34;27.34;;30.79;30.79;;30.85;30.85;;27.41;27.41;;27.20;27.20;;27.48;27.48;;28.17;28.17;;28.17;28.17;;30.79;30.79;;28.57;28.57;;28.57;28.57;;28.36;28.36;;29.95;29.95;;30.02;30.02;;29.95;29.95;;26.06;26.06;;26.21;26.21;;26.06;26.06;;24.13;24.13;;24.27;24.27;;24.34;24.34;;24.34;24.34;;24.20;24.20;;24.20;24.20;
"2021-07-01 08:00:00";32.58;32.58;22.215459;32.59;32.59;;32.59;32.59;;32.50;32.50;;32.33;32.33;;36.41;36.41;;36.49;36.49;;32.42;32.42;;32.17;32.17;;32.50;32.50;;33.32;33.32;;33.32;33.32;;36.41;36.41;;33.78;33.78;;33.78;33.78;;33.53;33.53;;35.42;35.42;;35.50;35.50;;35.42;35.42;;30.82;30.82;;30.99;30.99;;30.82;30.82;;28.54;28.54;;28.71;28.71;;28.79;28.79;;28.79;28.79;;28.62;28.62;;28.62;28.62;
"2021-07-01 08:15:00";32.91;32.91;23.324701833333;32.91;32.91;;32.91;32.91;;32.83;32.83;;32.66;32.66;;36.77;36.77;;36.85;36.85;;32.74;32.74;;32.49;32.49;;32.83;32.83;;33.65;33.65;;33.65;33.65;;36.77;36.77;;34.12;34.12;;34.12;34.12;;33.87;33.87;;35.77;35.77;;35.86;35.86;;35.77;35.77;;31.13;31.13;;31.30;31.30;;31.13;31.13;;28.82;28.82;;28.99;28.99;;29.08;29.08;;29.08;29.08;;28.91;28.91;;28.91;28.91;
"2021-07-01 08:30:00";46.74;46.74;32.404369;46.74;46.74;;46.74;46.74;;46.62;46.62;;46.38;46.38;;52.23;52.23;;52.34;52.34;;46.50;46.50;;46.14;46.14;;46.62;46.62;;47.79;47.79;;47.79;47.79;;52.23;52.23;;48.46;48.46;;48.46;48.46;;48.10;48.10;;50.81;50.81;;50.93;50.93;;50.81;50.81;;44.22;44.22;;44.46;44.46;;44.22;44.22;;40.94;40.94;;41.18;41.18;;41.30;41.30;;41.30;41.30;;41.06;41.06;;41.06;41.06;
"2021-07-01 08:45:00";50.26;50.26;37.213785833333;50.27;50.27;;50.27;50.27;;50.14;50.14;;49.88;49.88;;56.16;56.16;;56.29;56.29;;50.01;50.01;;49.62;49.62;;50.14;50.14;;51.40;51.40;;51.40;51.40;;56.16;56.16;;52.11;52.11;;52.11;52.11;;51.73;51.73;;54.64;54.64;;54.77;54.77;;54.64;54.64;;47.55;47.55;;47.81;47.81;;47.55;47.55;;44.02;44.02;;44.28;44.28;;44.41;44.41;;44.41;44.41;;44.15;44.15;;44.15;44.15;
"2021-07-01 09:00:00";98.61;98.61;102.4845945;98.61;98.61;;98.61;98.61;;98.36;98.36;;97.85;97.85;;110.18;110.18;;110.43;110.43;;98.11;98.11;;97.35;97.35;;98.36;98.36;;100.83;100.83;;100.83;100.83;;110.18;110.18;;102.24;102.24;;102.24;102.24;;101.49;101.49;;107.20;107.20;;107.44;107.44;;107.20;107.20;;93.28;93.28;;93.79;93.79;;93.28;93.28;;86.37;86.37;;86.88;86.88;;87.13;87.13;;87.13;87.13;;86.62;86.62;;86.62;86.62;
"2021-07-01 09:15:00";138.62;138.62;157.83851366667;138.62;138.62;;138.62;138.62;;138.26;138.26;;137.55;137.55;;154.88;154.88;;155.23;155.23;;137.91;137.91;;136.84;136.84;;138.26;138.26;;141.74;141.74;;141.74;141.74;;154.88;154.88;;143.72;143.72;;143.72;143.72;;142.66;142.66;;150.69;150.69;;151.04;151.04;;150.69;150.69;;131.13;131.13;;131.84;131.84;;131.13;131.13;;121.40;121.40;;122.12;122.12;;122.48;122.48;;122.48;122.48;;121.76;121.76;;121.76;121.76;
"2021-07-01 09:30:00";130.58;130.58;150.15207433333;130.58;130.58;;130.58;130.58;;130.24;130.24;;129.57;129.57;;145.90;145.90;;146.23;146.23;;129.91;129.91;;128.91;128.91;;130.24;130.24;;133.52;133.52;;133.52;133.52;;145.90;145.90;;135.38;135.38;;135.38;135.38;;134.38;134.38;;141.95;141.95;;142.28;142.28;;141.95;141.95;;123.52;123.52;;124.20;124.20;;123.52;123.52;;114.36;114.36;;115.04;115.04;;115.37;115.37;;115.37;115.37;;114.70;114.70;;114.70;114.70;
"2021-07-01 09:45:00";111.82;111.82;115.27396166667;111.82;111.82;;111.82;111.82;;111.53;111.53;;110.96;110.96;;124.94;124.94;;125.22;125.22;;111.24;111.24;;110.38;110.38;;111.53;111.53;;114.33;114.33;;114.33;114.33;;124.94;124.94;;115.93;115.93;;115.93;115.93;;115.07;115.07;;121.55;121.55;;121.83;121.83;;121.55;121.55;;105.77;105.77;;106.35;106.35;;105.77;105.77;;97.93;97.93;;98.51;98.51;;98.80;98.80;;98.80;98.80;;98.22;98.22;;98.22;98.22;
"2021-07-01 10:00:00";125.21;125.21;137.9238325;125.21;125.21;;125.21;125.21;;124.89;124.89;;124.25;124.25;;139.91;139.91;;140.22;140.22;;124.57;124.57;;123.61;123.61;;124.89;124.89;;128.03;128.03;;128.03;128.03;;139.91;139.91;;129.82;129.82;;129.82;129.82;;128.86;128.86;;136.11;136.11;;136.43;136.43;;136.11;136.11;;118.45;118.45;;119.09;119.09;;118.45;118.45;;109.66;109.66;;110.31;110.31;;110.63;110.63;;110.63;110.63;;109.99;109.99;;109.99;109.99;
"2021-07-01 10:15:00";154.01;154.01;169.84743933333;154.01;154.01;;154.01;154.01;;153.61;153.61;;152.82;152.82;;172.08;172.08;;172.46;172.46;;153.22;153.22;;152.03;152.03;;153.61;153.61;;157.47;157.47;;157.47;157.47;;172.08;172.08;;159.67;159.67;;159.67;159.67;;158.49;158.49;;167.41;167.41;;167.80;167.80;;167.41;167.41;;145.69;145.69;;146.48;146.48;;145.69;145.69;;134.88;134.88;;135.68;135.68;;136.07;136.07;;136.07;136.07;;135.28;135.28;;135.28;135.28;
"2021-07-01 10:30:00";124.53;124.53;134.16745716667;124.53;124.53;;124.53;124.53;;124.21;124.21;;123.57;123.57;;139.14;139.14;;139.45;139.45;;123.89;123.89;;122.93;122.93;;124.21;124.21;;127.33;127.33;;127.33;127.33;;139.14;139.14;;129.11;129.11;;129.11;129.11;;128.16;128.16;;135.37;135.37;;135.68;135.68;;135.37;135.37;;117.80;117.80;;118.44;118.44;;117.80;117.80;;109.06;109.06;;109.71;109.71;;110.03;110.03;;110.03;110.03;;109.39;109.39;;109.39;109.39;
"2021-07-01 10:45:00";136.32;136.32;145.79471333333;136.32;136.32;;136.32;136.32;;135.97;135.97;;135.27;135.27;;152.32;152.32;;152.66;152.66;;135.62;135.62;;134.58;134.58;;135.97;135.97;;139.39;139.39;;139.39;139.39;;152.32;152.32;;141.34;141.34;;141.34;141.34;;140.29;140.29;;148.19;148.19;;148.53;148.53;;148.19;148.19;;128.96;128.96;;129.66;129.66;;128.96;128.96;;119.39;119.39;;120.10;120.10;;120.45;120.45;;120.45;120.45;;119.75;119.75;;119.75;119.75;
"2021-07-01 11:00:00";140.06;140.06;152.5548865;140.06;140.06;;140.06;140.06;;139.70;139.70;;138.98;138.98;;156.49;156.49;;156.84;156.84;;139.34;139.34;;138.27;138.27;;139.70;139.70;;143.21;143.21;;143.21;143.21;;156.49;156.49;;145.21;145.21;;145.21;145.21;;144.14;144.14;;152.25;152.25;;152.61;152.61;;152.25;152.25;;132.49;132.49;;133.22;133.22;;132.49;132.49;;122.67;122.67;;123.39;123.39;;123.75;123.75;;123.75;123.75;;123.03;123.03;;123.03;123.03;
"2021-07-01 11:15:00";151.06;151.06;169.15118666667;151.06;151.06;;151.06;151.06;;150.67;150.67;;149.90;149.90;;168.78;168.78;;169.16;169.16;;150.28;150.28;;149.12;149.12;;150.67;150.67;;154.45;154.45;;154.45;154.45;;168.78;168.78;;156.61;156.61;;156.61;156.61;;155.46;155.46;;164.20;164.20;;164.59;164.59;;164.20;164.20;;142.90;142.90;;143.67;143.67;;142.90;142.90;;132.30;132.30;;133.08;133.08;;133.47;133.47;;133.47;133.47;;132.69;132.69;;132.69;132.69;
"2021-07-01 11:30:00";191.51;191.51;234.06648416667;191.51;191.51;;191.51;191.51;;191.02;191.02;;190.04;190.04;;213.98;213.98;;214.46;214.46;;190.53;190.53;;189.06;189.06;;191.02;191.02;;195.82;195.82;;195.82;195.82;;213.98;213.98;;198.56;198.56;;198.56;198.56;;197.09;197.09;;208.18;208.18;;208.66;208.66;;208.18;208.18;;181.16;181.16;;182.15;182.15;;181.16;181.16;;167.73;167.73;;168.72;168.72;;169.21;169.21;;169.21;169.21;;168.22;168.22;;168.22;168.22;
"2021-07-01 11:45:00";229.48;229.48;245.1133275;229.48;229.48;;229.48;229.48;;228.89;228.89;;227.71;227.71;;256.40;256.40;;256.98;256.98;;228.30;228.30;;226.54;226.54;;228.89;228.89;;234.64;234.64;;234.64;234.64;;256.40;256.40;;237.92;237.92;;237.92;237.92;;236.16;236.16;;249.45;249.45;;250.03;250.03;;249.45;249.45;;217.08;217.08;;218.26;218.26;;217.08;217.08;;200.98;200.98;;202.16;202.16;;202.76;202.76;;202.76;202.76;;201.57;201.57;;201.57;201.57;
"2021-07-01 12:00:00";168.90;168.90;199.66032716667;168.90;168.90;;168.90;168.90;;168.47;168.47;;167.61;167.61;;188.72;188.72;;189.14;189.14;;168.04;168.04;;166.74;166.74;;168.47;168.47;;172.70;172.70;;172.70;172.70;;188.72;188.72;;175.12;175.12;;175.12;175.12;;173.83;173.83;;183.61;183.61;;184.03;184.03;;183.61;183.61;;159.78;159.78;;160.65;160.65;;159.78;159.78;;147.93;147.93;;148.80;148.80;;149.24;149.24;;149.24;149.24;;148.36;148.36;;148.36;148.36;
"2021-07-01 12:15:00";200.33;200.33;180.19603;200.33;200.33;;200.33;200.33;;199.82;199.82;;198.79;198.79;;223.84;223.84;;224.34;224.34;;199.31;199.31;;197.77;197.77;;199.82;199.82;;204.84;204.84;;204.84;204.84;;223.84;223.84;;207.70;207.70;;207.70;207.70;;206.17;206.17;;217.77;217.77;;218.28;218.28;;217.77;217.77;;189.51;189.51;;190.54;190.54;;189.51;189.51;;175.45;175.45;;176.49;176.49;;177.01;177.01;;177.01;177.01;;175.97;175.97;;175.97;175.97;
"2021-07-01 12:30:00";205.93;205.93;253.76001466667;205.93;205.93;;205.93;205.93;;205.40;205.40;;204.34;204.34;;230.09;230.09;;230.61;230.61;;204.87;204.87;;203.29;203.29;;205.40;205.40;;210.56;210.56;;210.56;210.56;;230.09;230.09;;213.50;213.50;;213.50;213.50;;211.93;211.93;;223.85;223.85;;224.37;224.37;;223.85;223.85;;194.80;194.80;;195.86;195.86;;194.80;194.80;;180.35;180.35;;181.42;181.42;;181.95;181.95;;181.95;181.95;;180.89;180.89;;180.89;180.89;
"2021-07-01 12:45:00";288.67;288.67;324.52133433333;288.67;288.67;;288.67;288.67;;287.93;287.93;;286.45;286.45;;322.54;322.54;;323.26;323.26;;287.19;287.19;;284.97;284.97;;287.93;287.93;;295.16;295.16;;295.16;295.16;;322.54;322.54;;299.29;299.29;;299.29;299.29;;297.08;297.08;;313.79;313.79;;314.52;314.52;;313.79;313.79;;273.07;273.07;;274.56;274.56;;273.07;273.07;;252.82;252.82;;254.31;254.31;;255.05;255.05;;255.05;255.05;;253.56;253.56;;253.56;253.56;
"2021-07-01 13:00:00";174.59;174.59;223.48514083333;174.59;174.59;;174.59;174.59;;174.14;174.14;;173.25;173.25;;195.08;195.08;;195.51;195.51;;173.70;173.70;;172.35;172.35;;174.14;174.14;;178.52;178.52;;178.52;178.52;;195.08;195.08;;181.01;181.01;;181.01;181.01;;179.68;179.68;;189.79;189.79;;190.23;190.23;;189.79;189.79;;165.16;165.16;;166.06;166.06;;165.16;165.16;;152.91;152.91;;153.81;153.81;;154.26;154.26;;154.26;154.26;;153.36;153.36;;153.36;153.36;
"2021-07-01 13:15:00";184.71;184.71;212.12734383333;184.71;184.71;;184.71;184.71;;184.24;184.24;;183.29;183.29;;206.38;206.38;;206.85;206.85;;183.77;183.77;;182.34;182.34;;184.24;184.24;;188.87;188.87;;188.87;188.87;;206.38;206.38;;191.51;191.51;;191.51;191.51;;190.10;190.10;;200.79;200.79;;201.26;201.26;;200.79;200.79;;174.73;174.73;;175.69;175.69;;174.73;174.73;;161.77;161.77;;162.73;162.73;;163.20;163.20;;163.20;163.20;;162.25;162.25;;162.25;162.25;
"2021-07-01 13:30:00";250.24;250.24;322.25733866667;250.24;250.24;;250.24;250.24;;249.60;249.60;;248.32;248.32;;279.60;279.60;;280.23;280.23;;248.96;248.96;;247.04;247.04;;249.60;249.60;;255.87;255.87;;255.87;255.87;;279.60;279.60;;259.45;259.45;;259.45;259.45;;257.54;257.54;;272.03;272.03;;272.66;272.66;;272.03;272.03;;236.72;236.72;;238.01;238.01;;236.72;236.72;;219.17;219.17;;220.46;220.46;;221.10;221.10;;221.10;221.10;;219.81;219.81;;219.81;219.81;
"2021-07-01 13:45:00";529.85;529.85;480.51945683333;529.85;529.85;;529.85;529.85;;528.49;528.49;;525.77;525.77;;592.02;592.02;;593.34;593.34;;527.13;527.13;;523.06;523.06;;528.49;528.49;;541.76;541.76;;541.76;541.76;;592.02;592.02;;549.34;549.34;;549.34;549.34;;545.29;545.29;;575.97;575.97;;577.31;577.31;;575.97;575.97;;501.22;501.22;;503.95;503.95;;501.22;501.22;;464.05;464.05;;466.78;466.78;;468.15;468.15;;468.15;468.15;;465.41;465.41;;465.41;465.41;
"2021-07-01 14:00:00";622.75;622.75;518.77744216667;622.75;622.75;;622.75;622.75;;619.12;621.16;;617.96;617.96;;663.36;695.82;;697.38;697.38;;618.40;619.56;;611.82;614.77;;620.87;621.16;;635.84;636.76;;635.69;636.76;;666.24;695.82;;645.66;645.66;;645.66;645.66;;640.90;640.90;;653.64;676.96;;662.30;678.53;;649.70;676.96;;589.11;589.11;;592.32;592.32;;589.11;589.11;;545.41;545.41;;548.63;548.63;;550.24;550.24;;550.24;550.24;;547.02;547.02;;547.02;547.02;
"2021-07-01 14:15:00";434.82;434.82;366.49446483333;434.82;434.82;;434.82;434.82;;433.71;433.71;;431.48;431.48;;485.84;485.84;;486.93;486.93;;432.59;432.59;;429.25;429.25;;433.71;433.71;;444.60;444.60;;444.60;444.60;;485.84;485.84;;450.82;450.82;;450.82;450.82;;447.49;447.49;;472.67;472.67;;473.77;473.77;;472.67;472.67;;411.33;411.33;;413.57;413.57;;411.33;411.33;;380.82;380.82;;383.07;383.07;;384.19;384.19;;384.19;384.19;;381.94;381.94;;381.94;381.94;
"2021-07-01 14:30:00";208.75;208.75;231.79286816667;208.75;208.75;;208.75;208.75;;208.22;208.22;;207.15;207.15;;233.25;233.25;;233.77;233.77;;207.68;207.68;;206.08;206.08;;208.22;208.22;;213.45;213.45;;213.45;213.45;;233.25;233.25;;216.43;216.43;;216.43;216.43;;214.84;214.84;;226.92;226.92;;227.45;227.45;;226.92;226.92;;197.47;197.47;;198.55;198.55;;197.48;197.48;;182.83;182.83;;183.91;183.91;;184.45;184.45;;184.45;184.45;;183.37;183.37;;183.37;183.37;
"2021-07-01 14:45:00";420.91;420.91;509.34266516667;420.91;420.91;;420.91;420.91;;419.83;419.83;;417.68;417.68;;470.30;470.30;;471.35;471.35;;418.76;418.76;;415.52;415.52;;419.83;419.83;;430.38;430.38;;430.38;430.38;;470.30;470.30;;436.40;436.40;;436.40;436.40;;433.18;433.18;;457.55;457.55;;458.61;458.61;;457.55;457.55;;398.17;398.17;;400.34;400.34;;398.17;398.17;;368.64;368.64;;370.81;370.81;;371.90;371.90;;371.90;371.90;;369.73;369.73;;369.73;369.73;
"2021-07-01 15:00:00";451.67;451.67;402.87390833333;451.67;451.67;;451.67;451.67;;450.52;450.52;;448.20;448.20;;504.67;504.67;;505.80;505.80;;449.36;449.36;;445.88;445.88;;450.52;450.52;;461.83;461.83;;461.83;461.83;;504.67;504.67;;468.29;468.29;;468.29;468.29;;464.84;464.84;;490.99;490.99;;492.13;492.13;;490.99;490.99;;427.27;427.27;;429.60;429.60;;427.27;427.27;;395.58;395.58;;397.91;397.91;;399.08;399.08;;399.08;399.08;;396.75;396.75;;396.75;396.75;
"2021-07-01 15:15:00";305.59;305.59;347.7377335;305.59;305.59;;305.59;305.59;;304.81;304.81;;303.24;303.24;;341.44;341.44;;342.21;342.21;;304.02;304.02;;301.67;301.67;;304.81;304.81;;312.46;312.46;;312.46;312.46;;341.44;341.44;;316.83;316.83;;316.83;316.83;;314.49;314.49;;332.19;332.19;;332.96;332.96;;332.19;332.19;;289.08;289.08;;290.65;290.65;;289.08;289.08;;267.64;267.64;;269.22;269.22;;270.01;270.01;;270.01;270.01;;268.43;268.43;;268.43;268.43;
"2021-07-01 15:30:00";362.93;362.93;277.98490833333;362.93;362.93;;362.93;362.93;;362.00;362.00;;360.14;360.14;;405.52;405.52;;406.43;406.43;;361.07;361.07;;358.28;358.28;;362.00;362.00;;371.09;371.09;;371.09;371.09;;405.52;405.52;;376.28;376.28;;376.28;376.28;;373.51;373.51;;394.52;394.52;;395.44;395.44;;394.53;394.53;;343.33;343.33;;345.20;345.20;;343.33;343.33;;317.86;317.86;;319.74;319.74;;320.67;320.67;;320.67;320.67;;318.80;318.80;;318.80;318.80;
"2021-07-01 15:45:00";374.44;374.44;456.48295366667;374.44;374.44;;374.44;374.44;;373.48;373.48;;371.56;371.56;;418.37;418.37;;419.31;419.31;;372.52;372.52;;369.64;369.64;;373.48;373.48;;382.86;382.86;;382.86;382.86;;418.37;418.37;;388.21;388.21;;388.21;388.21;;385.35;385.35;;407.03;407.03;;407.98;407.98;;407.03;407.03;;354.21;354.21;;356.14;356.14;;354.21;354.21;;327.94;327.94;;329.87;329.87;;330.84;330.84;;330.84;330.84;;328.91;328.91;;328.91;328.91;
"2021-07-01 16:00:00";278.09;278.09;251.44327233333;278.09;278.09;;278.09;278.09;;277.38;277.38;;275.95;275.95;;310.72;310.72;;311.42;311.42;;276.67;276.67;;274.53;274.53;;277.38;277.38;;284.34;284.34;;284.34;284.34;;310.72;310.72;;288.32;288.32;;288.32;288.32;;286.19;286.19;;302.30;302.30;;303.00;303.00;;302.30;302.30;;263.07;263.07;;264.50;264.50;;263.07;263.07;;243.55;243.55;;244.99;244.99;;245.71;245.71;;245.71;245.71;;244.27;244.27;;244.27;244.27;
"2021-07-01 16:15:00";310.00;310.00;347.11076033333;310.00;310.00;;310.00;310.00;;309.20;309.20;;307.61;307.61;;346.37;346.37;;347.15;347.15;;308.41;308.41;;306.02;306.02;;309.20;309.20;;316.97;316.97;;316.97;316.97;;346.37;346.37;;321.40;321.40;;321.40;321.40;;319.03;319.03;;336.98;336.98;;337.76;337.76;;336.98;336.98;;293.25;293.25;;294.85;294.85;;293.25;293.25;;271.50;271.50;;273.10;273.10;;273.90;273.90;;273.90;273.90;;272.30;272.30;;272.30;272.30;
"2021-07-01 16:30:00";252.18;252.18;379.53846483333;252.18;252.18;;252.18;252.18;;251.53;251.53;;250.24;250.24;;281.77;281.77;;282.40;282.40;;250.88;250.88;;248.94;248.94;;251.53;251.53;;257.85;257.85;;257.85;257.85;;281.77;281.77;;261.45;261.45;;261.45;261.45;;259.53;259.53;;274.13;274.13;;274.76;274.76;;274.13;274.13;;238.55;238.55;;239.85;239.85;;238.55;238.55;;220.86;220.86;;222.16;222.16;;222.81;222.81;;222.81;222.81;;221.51;221.51;;221.51;221.51;
"2021-07-01 16:45:00";277.03;277.03;320.90057083333;277.03;277.03;;277.03;277.03;;276.32;276.32;;274.90;274.90;;309.54;309.54;;310.23;310.23;;275.61;275.61;;273.48;273.48;;276.32;276.32;;283.26;283.26;;283.26;283.26;;309.54;309.54;;287.22;287.22;;287.22;287.22;;285.11;285.11;;301.15;301.15;;301.85;301.85;;301.15;301.15;;262.07;262.07;;263.50;263.50;;262.07;262.07;;242.63;242.63;;244.06;244.06;;244.78;244.78;;244.78;244.78;;243.34;243.34;;243.34;243.34;
"2021-07-01 17:00:00";306.91;306.91;372.44747933333;306.91;306.91;;306.91;306.91;;306.13;306.13;;304.55;304.55;;342.92;342.92;;343.69;343.69;;305.34;305.34;;302.98;302.98;;306.13;306.13;;313.81;313.81;;313.81;313.81;;342.92;342.92;;318.20;318.20;;318.20;318.20;;315.86;315.86;;333.63;333.63;;334.40;334.40;;333.63;333.63;;290.33;290.33;;291.91;291.91;;290.33;290.33;;268.80;268.80;;270.38;270.38;;271.18;271.18;;271.18;271.18;;269.59;269.59;;269.59;269.59;
"2021-07-01 17:15:00";454.22;454.22;356.40809016667;454.22;454.22;;454.22;454.22;;453.05;453.05;;450.72;450.72;;507.51;507.51;;508.65;508.65;;451.89;451.89;;448.39;448.39;;453.05;453.05;;464.43;464.43;;464.43;464.43;;507.51;507.51;;470.92;470.92;;470.92;470.92;;467.45;467.45;;493.75;493.75;;494.90;494.90;;493.75;493.75;;429.67;429.67;;432.02;432.02;;429.67;429.67;;397.81;397.81;;400.15;400.15;;401.33;401.33;;401.33;401.33;;398.98;398.98;;398.98;398.98;
